No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
57,03/07/25,Old Guard 2,English,2025,,,Home,Victoria Mahoney,107 min,"Action, Fantasy",6.009,2025,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,Found,
56,02/07/25,Bring Her Back,English,2025,,,Home,"Danny Philippou, Michael Philippou",104 min,Horror,7.413,2025,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",Found,
55,01/07/25,Ballerina,English,2025,,,Home,Len Wiseman,125 min,"Action, Thriller, Crime",7.269,2025,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Found,0
54,01/07/25,Thunderbolts,English,2025,,,Home,Jake Schreier,127 min,"Action, Science Fiction, Adventure",7.301,2025,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",Found,0
53,30/06/25,Raatchasan,Tamil,2018,,2,Home,Ram Kumar,170 min,"Thriller, Crime, Mystery",7.4,2018,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases.",Found,
52,29/06/25,"Love, Rosie",English,2014,,2,Home,Christian Ditter,102 min,"Romance, Drama, Comedy",7.817,2014,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",Found,
81,28/06/25,F1 The Movie,English,2025,,,Theatre,Joseph Kosinski,156 min,"Action, Drama",7.829,2025,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Found,
51,23/06/25,28 Days Later,English,2002,,,Home,Danny Boyle,113 min,"Horror, Thriller, Science Fiction",7.233,2002,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",Found,
50,21/06/25,Main Hoon Na,Hindi,2004,,,Home,Farah Khan,179 min,Drama,6.6,2004,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Found,
49,20/06/25,Meyaadha Maan,Tamil,2017,,2,Home,Rathna Kumar,147 min,"Romance, Comedy",7.2,2017,"A youngster who loves a girl tries to commit suicide and to dissuade him, his friend reaches out to the girl, setting in motion events that unexpectedly turn out to be life changing.",Found,
48,17/06/25,Dada,Tamil,2023,,2,Home,Ganesh K. Babu,135 min,"Drama, Comedy, Romance",7.412,2023,"Manikandan and Sindhu, final year college students, become parents accidentally. Situations separate them, forcing Manikandan to raise his child, Adhithya, as a single parent. What follows is a beautiful tale of a father and son and their journey against all odds.",Found,0
47,16/06/25,Final Destination: Bloodlines,English,2025,,,Home,"Adam B. Stein, Zach Lipovsky",110 min,"Horror, Mystery",7.118,2025,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",Found,
46,12/06/25,Stolen,Hindi,2025,,,Home,Karan Tejpal,94 min,"Drama, Thriller",6.907,2023,"The five-month-old baby of impoverished tribal woman Jhumpa Mahato is stolen. Two brothers, Gautam and Raman, who witness the kidnapping, try to help her and become embroiled in the complexities of the investigation.",Found,-2
45,08/06/25,The Intern,English,2015,,5,Home,Nancy Meyers,121 min,Comedy,7.2,2015,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Found,0
44,07/06/25,Predator: Killer of Killers,English,2025,,,Home,Dan Trachtenberg,85 min,"Animation, Action, Science Fiction, Thriller",7.898,2025,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",Found,
43,07/06/25,The Accountant 2,English,2025,,,Home,Gavin O'Connor,133 min,"Mystery, Crime, Thriller",7.145,2025,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",Found,
42,02/06/25,13 Going on 30,English,2004,,,Home,Gary Winick,98 min,"Comedy, Fantasy, Romance",6.8,2004,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better life. But soon Jenna realizes that adult life isn’t as easy as she hoped for.",Found,
41,02/06/25,HIT: The 3rd Case,Telugu,2025,,,Home,Sailesh Kolanu,157 min,"Crime, Thriller, Action",7.3,2025,The Homicide Intervention Team (HIT) sends ruthless police officer Arjun Sarkaar to find a group of killers and stop their grisly murder spree.,Found,
40,01/06/25,The Edge of Seventeen,English,2016,,3,Home,Kelly Fremon Craig,105 min,"Comedy, Drama",7.159,2016,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",Found,
39,31/05/25,Sinners,English,2025,,,Home,Ryan Coogler,138 min,"Horror, Action, Thriller",7.489,2025,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Found,0
38,18/05/25,Court - State Vs. A Nobody,Telugu,2025,,,Home,Ram Jagadeesh,149 min,"Drama, Romance, Crime",7.6,2025,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",Found,
37,17/05/25,Vadakkan,Malayalam,2025,,,Home,Sajeed A. Raman,120 min,"Fantasy, Horror, Thriller",5.5,2025,"A paranormal investigator based in Helsinki ventures to Kerala to probe a series of mysterious deaths during a reality TV show shoot and confronts an unspeakable entity from a Dravidian cult practice, lurking on a mysterious island.",Found,0
36,15/05/25,Superboys of Malegaon,Hindi,2024,,,Home,Reema Kagti,130 min,"Comedy, Drama",7.7,2025,"The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.",Found,
35,11/05/25,Tourist Family,Tamil,2025,,,Theatre,Abishan Jeevinth,128 min,"Comedy, Drama, Family",8.1,2025,A quirky Sri Lankan family seeking a fresh start in India transforms a disconnected neighborhood into a vibrant community with their infectious love and kindness.,Found,
34,09/05/25,Tourist Family,Tamil,2025,,3,Theatre,Abishan Jeevinth,128 min,"Comedy, Drama, Family",8.1,2025,A quirky Sri Lankan family seeking a fresh start in India transforms a disconnected neighborhood into a vibrant community with their infectious love and kindness.,Found,
33,02/05/25,Tourist Family,Tamil,2025,,2,Theatre,Abishan Jeevinth,128 min,"Comedy, Drama, Family",8.1,2025,A quirky Sri Lankan family seeking a fresh start in India transforms a disconnected neighborhood into a vibrant community with their infectious love and kindness.,Found,
32,01/05/25,Retro,Tamil,2025,,,Theatre,Karthik Subbaraj,162 min,"Romance, Action, Drama, Crime",6.529,2025,"Raised by a criminal father, Paarivel Kannan leaves behind his adoptive family to build a quiet life with his love, Rukmini. But his violent past won't let him go.",Found,0
29,27/04/25,Dil Dhadakne Do,Hindi,2015,,,Home,Zoya Akhtar,170 min,"Drama, Family, Romance",6.804,2015,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.",Found,
31,10/04/25,Veera Dheera Sooran: Part 2,Tamil,2025,,2,Theatre,S. U. Arunkumar,162 min,"Action, Crime, Drama, Thriller",7.1,2025,"Kaali is a provision store owner and a loving husband and father, is brought back into the life of crime, when his former boss's son is being hunted by the police.",Found,
30,03/04/25,Veera Dheera Sooran: Part 2,Tamil,2025,,,Theatre,S. U. Arunkumar,162 min,"Action, Crime, Drama, Thriller",7.1,2025,"Kaali is a provision store owner and a loving husband and father, is brought back into the life of crime, when his former boss's son is being hunted by the police.",Found,
28,01/04/25,L2 Empuraan,Malayalam,2025,,,Home,Prithviraj Sukumaran,179 min,"Action, Crime, Thriller",6.325,2025,"Five years after becoming Chief Minister of Kerala, Jathin Ramdas's move to align with communal forces led by Balraj 'Baba' Bajrangi, triggers Stephen Nedumpally aka Khureshi Ab'raam to return with his Man Friday Zayed Masood to save his home state and settle scores.",Found,
27,22/03/25,Meri Pyaari Bindu,Hindi,2017,,2,Home,Akshay Roy,119 min,"Drama, Romance",6.1,2017,Abhimanyu Roy is stuck with writer's block until he decides to re-live the memories of his childhood sweetheart Bindu who aspires to be a successful singer and struggles to give Abhi the one thing he craves - stability.,Found,
26,21/03/25,Lucifer,Malayalam,2019,,,Home,Prithviraj Sukumaran,174 min,"Action, Drama, Thriller",7.089,2019,"In God's own country, the supreme leader of the ruling party dies, leaving a huge vacuum, not only in the electoral and leadership sphere of the party but also that of the state. In the inevitable succession squabble and the power struggle that ensues, the thin line that separates good and bad becomes irrecoverably blurred and out of this seemingly endless mayhem, emerge forces that are hitherto unheard of.",Found,0
25,16/03/25,Rocky Aur Rani Kii Prem Kahaani,Hindi,2023,,,Home,Karan Johar,179 min,"Comedy, Drama, Family, Romance",6.0,2023,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",Found,
